"enhancer","promoter","stratum","odds_ratio","pvalue","adjpvalue"
"any.27ac_enhancer","CGI_promoter","mediating",0.906447804901276,0.0111308372012865,0.0209773470331937
"any.27ac_enhancer","TATA_box_promoter","mediating",0.853380011425391,0.0403606275997425,0.0636420589857558
"any.27m3_enhancer","any.27ac_promoter","mediating",0.672830485409205,4.76672890394891e-16,2.12336105721361e-15
"any.27m3_enhancer","any.27m3_promoter","mediating",2.50269742085444,5.40467644835364e-59,6.6207286492332e-58
"any.27m3_enhancer","iPSC_SE_promoter","mediating",1.25126052671014,0.0177759176867831,0.0322599987649027
"any.27m3_enhancer","NSC_SE_promoter","mediating",1.41572238310443,0.000871611620427622,0.00170835877603814
"any.27m3_enhancer","Neuron_SE_promoter","mediating",1.46089950864428,4.98032332829181e-05,0.000143550495933117
"any.27m3_enhancer","CGI_promoter","mediating",0.752798896249206,3.91009342355043e-08,1.27729718502647e-07
"any.27m3_enhancer","TATA_box_promoter","mediating",0.655488310540118,0.000417452774547931,0.000929781179674937
"iPSC_SE_enhancer","any.27ac_promoter","mediating",1.12918982928193,0.0490263811319577,0.0727967477413917
"iPSC_SE_enhancer","any.27m3_promoter","mediating",0.894712469753396,0.0735920536626314,0.103028875127684
"iPSC_SE_enhancer","iPSC_SE_promoter","mediating",6.04738322651523,1.48335743271937e-141,7.26845142032491e-140
"iPSC_SE_enhancer","NSC_SE_promoter","mediating",2.27414406675666,9.06496363150698e-15,3.70152681619868e-14
"iPSC_SE_enhancer","Neuron_SE_promoter","mediating",2.40012647606076,2.80352099192465e-20,1.52636142893676e-19
"iPSC_SE_enhancer","CGI_promoter","mediating",0.860809737734492,0.021341426106182,0.0360596510069971
"iPSC_SE_enhancer","TATA_box_promoter","mediating",0.831744374867739,0.193968728225516,0.256877504947304
"NSC_SE_enhancer","any.27ac_promoter","mediating",1.09823537895388,0.256013871147746,0.330123149637883
"NSC_SE_enhancer","any.27m3_promoter","mediating",0.746075640345678,0.000246222738294332,0.000574519722686774
"NSC_SE_enhancer","iPSC_SE_promoter","mediating",3.179757242158,2.0589262042488e-28,1.68145640013652e-27
"NSC_SE_enhancer","NSC_SE_promoter","mediating",5.80793755385473,8.45601977852926e-76,1.38114989715978e-74
"NSC_SE_enhancer","Neuron_SE_promoter","mediating",3.10519485141467,3.77502757672069e-25,2.64251930370448e-24
"NSC_SE_enhancer","CGI_promoter","mediating",0.721382249209669,7.82489716946903e-05,0.000201799979633675
"NSC_SE_enhancer","TATA_box_promoter","mediating",0.822856079465722,0.315318006062852,0.376843470660482
"Neuron_SE_enhancer","any.27ac_promoter","mediating",1.0184614890901,0.802577305032746,0.811698608408801
"Neuron_SE_enhancer","any.27m3_promoter","mediating",1.14932758102422,0.0415621609702895,0.0636420589857558
"Neuron_SE_enhancer","iPSC_SE_promoter","mediating",2.40455856161479,1.14724544363645e-19,5.62150267381861e-19
"Neuron_SE_enhancer","NSC_SE_promoter","mediating",2.76101431775056,3.46568424324661e-22,2.12273159898855e-21
"Neuron_SE_enhancer","Neuron_SE_promoter","mediating",5.83801858713479,5.53202939609705e-116,1.35534720204378e-114
"Neuron_SE_enhancer","CGI_promoter","mediating",0.873026930201938,0.05295267530002,0.0763141496970877
"Neuron_SE_enhancer","TATA_box_promoter","mediating",0.508773075109709,0.000145844511335689,0.000357319052772438
"CGI_enhancer","any.27ac_promoter","mediating",0.894134351915415,0.496162950778974,0.533032840538442
"CGI_enhancer","any.27m3_promoter","mediating",2.18579825687454,9.4232311681465e-06,2.88586454524487e-05
"CGI_enhancer","iPSC_SE_promoter","mediating",1.19252912643366,0.632183555223928,0.659084983105798
"CGI_enhancer","NSC_SE_promoter","mediating",2.33801057890097,0.000701167374449496,0.00149379136295762
"CGI_enhancer","Neuron_SE_promoter","mediating",2.19852247602231,0.00079204828013786,0.00161709857194813
"CGI_enhancer","CGI_promoter","mediating",1.1639597977937,0.409147524587946,0.466677060719378
"CGI_enhancer","TATA_box_promoter","mediating",0.614059553218052,0.264085766982289,0.331800066208517
"TATA_box_enhancer","any.27ac_promoter","mediating",1.03914159376992,0.811698608408801,0.811698608408801
