"axis","gene_set","rank"
"triplet_pairs","expressed_TRUE",912
"triplet_pairs","expressed_TRUE",915
"triplet_pairs","expressed_TRUE",916
"triplet_pairs","expressed_TRUE",917
"triplet_pairs","expressed_TRUE",922
"triplet_pairs","expressed_TRUE",923
"triplet_pairs","expressed_TRUE",924
"triplet_pairs","expressed_TRUE",929
"triplet_pairs","expressed_TRUE",933
"triplet_pairs","expressed_TRUE",934
"triplet_pairs","expressed_TRUE",935
"triplet_pairs","expressed_TRUE",936
"triplet_pairs","expressed_TRUE",937
"triplet_pairs","expressed_TRUE",941
"triplet_pairs","expressed_TRUE",942
"triplet_pairs","expressed_TRUE",949
"triplet_pairs","expressed_TRUE",952
"triplet_pairs","expressed_TRUE",953
"triplet_pairs","expressed_TRUE",958
"triplet_pairs","expressed_TRUE",959
"triplet_pairs","expressed_TRUE",960
"triplet_pairs","expressed_TRUE",964
"triplet_pairs","expressed_TRUE",965
"triplet_pairs","expressed_TRUE",967
"triplet_pairs","expressed_TRUE",968
"triplet_pairs","expressed_TRUE",970
"triplet_pairs","expressed_TRUE",971
"triplet_pairs","expressed_TRUE",972
"triplet_pairs","expressed_TRUE",975
"triplet_pairs","expressed_TRUE",976
"triplet_pairs","expressed_TRUE",978
"triplet_pairs","expressed_TRUE",979
"triplet_pairs","expressed_TRUE",982
"triplet_pairs","expressed_TRUE",983
"triplet_pairs","expressed_TRUE",984
"triplet_pairs","expressed_TRUE",985
"triplet_pairs","expressed_TRUE",987
"triplet_pairs","expressed_TRUE",988
"triplet_pairs","expressed_TRUE",990
"triplet_pairs","expressed_TRUE",995
"triplet_pairs","expressed_TRUE",999
"triplet_pairs","expressed_TRUE",1001
"triplet_pairs","expressed_TRUE",1003
"triplet_pairs","expressed_TRUE",1004
"triplet_pairs","expressed_TRUE",1006
"triplet_pairs","expressed_TRUE",1008
"triplet_pairs","expressed_TRUE",1010
"triplet_pairs","expressed_TRUE",1021
"triplet_pairs","expressed_TRUE",1022
"triplet_pairs","expressed_TRUE",1023
"triplet_pairs","expressed_TRUE",1026
"triplet_pairs","expressed_TRUE",1027
"triplet_pairs","expressed_TRUE",1037
"triplet_pairs","expressed_TRUE",1038
"triplet_pairs","expressed_TRUE",1039
"triplet_pairs","expressed_TRUE",1041
"triplet_pairs","expressed_TRUE",1045
"triplet_pairs","expressed_TRUE",1046
"triplet_pairs","expressed_TRUE",1049
"triplet_pairs","expressed_TRUE",1050
"triplet_pairs","expressed_TRUE",1051
"triplet_pairs","expressed_TRUE",1053
"triplet_pairs","expressed_TRUE",1054
"triplet_pairs","expressed_TRUE",1056
"triplet_pairs","expressed_TRUE",1059
"triplet_pairs","expressed_TRUE",1060
"triplet_pairs","expressed_TRUE",1063
"triplet_pairs","expressed_TRUE",1065
"triplet_pairs","expressed_TRUE",1068
"triplet_pairs","expressed_TRUE",1069
"triplet_pairs","expressed_TRUE",1070
"triplet_pairs","expressed_TRUE",1071
"triplet_pairs","expressed_TRUE",1079
"triplet_pairs","expressed_TRUE",1080
"triplet_pairs","expressed_TRUE",1084
"triplet_pairs","expressed_TRUE",1085
"triplet_pairs","expressed_TRUE",1086
"triplet_pairs","expressed_TRUE",1087
"triplet_pairs","expressed_TRUE",1088
"triplet_pairs","expressed_TRUE",1093
"triplet_pairs","expressed_TRUE",1099
"triplet_pairs","expressed_TRUE",1100
"triplet_pairs","expressed_TRUE",1103
"triplet_pairs","expressed_TRUE",1104
"triplet_pairs","expressed_TRUE",1107
"triplet_pairs","expressed_TRUE",1109
"triplet_pairs","expressed_TRUE",1117
"triplet_pairs","expressed_TRUE",1125
"triplet_pairs","expressed_TRUE",1127
"triplet_pairs","expressed_TRUE",1133
"triplet_pairs","expressed_TRUE",1134
"triplet_pairs","expressed_TRUE",1139
"triplet_pairs","expressed_TRUE",1149
"triplet_pairs","expressed_TRUE",1150
"triplet_pairs","expressed_TRUE",1152
"triplet_pairs","expressed_TRUE",1153
"triplet_pairs","expressed_TRUE",1154
"triplet_pairs","expressed_TRUE",1155
"triplet_pairs","expressed_TRUE",1156
"triplet_pairs","expressed_TRUE",1158
"triplet_pairs","expressed_TRUE",1160
"triplet_pairs","expressed_TRUE",1162
"triplet_pairs","expressed_TRUE",1163
"triplet_pairs","expressed_TRUE",1165
"triplet_pairs","expressed_TRUE",1171
"triplet_pairs","expressed_TRUE",1173
"triplet_pairs","expressed_TRUE",1174
"triplet_pairs","expressed_TRUE",1175
"triplet_pairs","expressed_TRUE",1178
"triplet_pairs","expressed_TRUE",1179
"triplet_pairs","expressed_TRUE",1182
"triplet_pairs","expressed_TRUE",1183
"triplet_pairs","expressed_TRUE",1187
"triplet_pairs","expressed_TRUE",1188
